date,timetable,max,min,range,range-trail,range-avg
2009-09-28,01:00-08:30,66.66,65.5,1.1599999999999966,0.0,0.0
2009-09-29,01:00-08:30,67.33,66.79,0.539999999999992,0.0,0.0
2009-09-30,01:00-08:30,67.4,66.45,0.9500000000000028,0.0,0.0
2009-10-01,01:00-08:30,70.39,69.83,0.5600000000000023,0.0,0.0
2009-10-02,01:00-08:30,70.5,70.1,0.4000000000000057,0.0,0.0
2009-10-05,01:00-08:30,70.22,69.4,0.8199999999999932,0.0,0.0
2009-10-06,01:00-08:30,71.0,70.06,0.9399999999999976,0.0,0.0
2009-10-07,01:00-08:30,71.76,71.12,0.6400000000000006,0.0,0.0
2009-10-08,01:00-08:30,70.48,69.8,0.6800000000000068,0.0,0.0
2009-10-09,01:00-08:30,71.5,71.03,0.4699999999999989,0.0,0.0
2009-10-12,01:00-08:30,72.58,72.05,0.5300000000000011,0.0,0.0
2009-10-13,01:00-08:30,73.24,72.83,0.4099999999999966,0.0,0.0
2009-10-14,01:00-08:30,75.15,74.53,0.6200000000000045,0.0,0.0
2009-10-15,01:00-08:30,75.96,75.6,0.35999999999999943,0.0,0.0
2009-10-16,01:00-08:30,78.17,77.79,0.37999999999999545,0.0,0.0
2009-10-19,01:00-08:30,79.05,78.27,0.7800000000000011,0.0,0.0
2009-10-20,01:00-08:30,80.05,79.5,0.5499999999999972,0.0,0.0
2009-10-21,01:00-08:30,78.85,78.46,0.39000000000000057,0.0,0.0
2009-10-22,01:00-08:30,81.5,80.79,0.7099999999999937,0.0,0.0
2009-10-23,01:00-08:30,81.78,81.07,0.7100000000000078,0.0,0.0
2009-10-26,01:00-08:30,80.02,79.57,0.4500000000000029,0.0,0.0
2009-10-27,01:00-08:30,78.9,78.48,0.4200000000000017,0.0,0.0
2009-10-28,01:00-08:30,79.83,79.2,0.6299999999999955,0.0,0.0
2009-10-29,01:00-08:30,77.46,77.05,0.4099999999999966,0.0,0.0
2009-10-30,01:00-08:30,80.21,79.86,0.3499999999999943,0.0,0.0
2009-11-02,01:00-08:30,77.68,76.64,1.0400000000000065,0.0,0.0
2009-11-03,01:00-08:30,78.46,77.88,0.5799999999999983,0.0,0.0
2009-11-04,01:00-08:30,79.66,79.12,0.539999999999992,0.0,0.0
2009-11-06,01:00-08:30,80.23,79.74,0.4900000000000091,0.0,0.0
2009-11-09,01:00-08:30,78.78,77.88,0.9000000000000057,0.0,0.0
2009-11-10,01:00-08:30,79.5,78.85,0.6500000000000057,0.0,0.0
2009-11-11,01:00-08:30,79.31,78.6,0.7100000000000078,0.0,0.0
2009-11-12,01:00-08:30,79.69,79.14,0.5499999999999972,0.0,0.0
2009-11-13,01:00-08:30,77.14,76.0,1.1400000000000006,0.0,0.0
2009-11-16,01:00-08:30,77.45,76.87,0.5799999999999983,0.0,0.0
2009-11-17,01:00-08:30,79.07,78.51,0.5599999999999881,0.0,0.0
2009-11-19,01:00-08:30,79.87,79.27,0.6000000000000085,0.0,0.0
2009-11-20,01:00-08:30,77.99,77.6,0.39000000000000057,0.0,0.0
2009-11-23,01:00-08:30,78.52,77.84,0.6799999999999926,0.0,0.0
2009-11-24,01:00-08:30,77.8,76.88,0.9200000000000016,0.0,0.0
2009-11-25,01:00-08:30,76.48,75.78,0.7000000000000028,0.0,0.0
2009-11-26,01:00-08:30,77.75,76.85,0.9000000000000057,0.0,0.0
2009-11-27,01:00-08:30,76.47,74.32,2.1500000000000057,0.0,0.0
2009-11-30,01:00-08:30,76.85,75.79,1.0599999999999878,0.0,0.0
2009-12-01,01:00-08:30,77.45,77.01,0.4399999999999977,0.0,0.0
2009-12-02,01:00-08:30,78.59,77.89,0.7000000000000028,0.0,0.0
2009-12-03,01:00-08:30,77.08,76.66,0.4200000000000017,0.0,0.0
2009-12-04,01:00-08:30,76.29,75.61,0.6800000000000068,0.0,0.0
2009-12-07,01:00-08:30,75.95,75.51,0.4399999999999977,0.0,0.0
2009-12-08,01:00-08:30,74.39,73.81,0.5799999999999983,0.0,0.0
2009-12-09,01:00-08:30,73.34,72.85,0.4900000000000091,0.0,0.0
2009-12-10,01:00-08:30,71.2,70.44,0.7600000000000051,0.0,0.0
2009-12-11,01:00-08:30,71.0,70.52,0.4800000000000039,0.0,0.0
2009-12-14,01:00-08:30,69.75,68.59,1.1599999999999966,0.0,0.0
2009-12-15,01:00-08:30,69.91,69.62,0.28999999999999204,0.0,0.0
2009-12-16,01:00-08:30,71.0,70.59,0.4099999999999966,0.0,0.0
2009-12-17,01:00-08:30,73.13,72.16,0.9699999999999988,0.0,0.0
2009-12-18,01:00-08:30,73.17,72.62,0.5499999999999972,0.0,0.0
