date,timetable,max,min,range,range-trail,range-avg
2009-09-28,09:00-18:30,1060.25,1037.0,23.25,0.0,0.0
2009-09-29,09:00-18:30,1065.75,1053.25,12.5,0.0,0.0
2009-09-30,09:00-18:30,1063.25,1041.5,21.75,0.0,0.0
2009-10-01,09:00-18:30,1055.25,1031.5,23.75,0.0,0.0
2009-10-02,09:00-18:30,1027.0,1012.0,15.0,0.0,0.0
2009-10-05,09:00-18:30,1032.5,1021.25,11.25,0.0,0.0
2009-10-06,09:00-18:30,1056.75,1036.75,20.0,0.0,0.0
2009-10-07,09:00-18:30,1054.75,1045.25,9.5,0.0,0.0
2009-10-08,09:00-18:30,1067.25,1056.75,10.5,0.0,0.0
2009-10-09,09:00-18:30,1067.25,1058.5,8.75,0.0,0.0
2009-10-12,09:00-18:30,1076.75,1067.5,9.25,0.0,0.0
2009-10-13,09:00-18:30,1074.25,1063.0,11.25,0.0,0.0
2009-10-14,09:00-18:30,1085.75,1077.75,8.0,0.0,0.0
2009-10-15,09:00-18:30,1090.0,1080.5,9.5,0.0,0.0
2009-10-16,09:00-18:30,1095.5,1077.5,18.0,0.0,0.0
2009-10-19,09:00-18:30,1095.75,1082.75,13.0,0.0,0.0
2009-10-20,09:00-18:30,1099.0,1082.5,16.5,0.0,0.0
2009-10-21,09:00-18:30,1098.5,1080.75,17.75,0.0,0.0
2009-10-22,09:00-18:30,1080.5,1070.25,10.25,0.0,0.0
2009-10-23,09:00-18:30,1095.25,1075.75,19.5,0.0,0.0
2009-10-26,09:00-18:30,1088.5,1062.25,26.25,0.0,0.0
2009-10-27,09:00-18:30,1069.75,1057.0,12.75,0.0,0.0
2009-10-28,09:00-18:30,1062.0,1046.25,15.75,0.0,0.0
2009-10-29,09:00-18:30,1057.25,1040.0,17.25,0.0,0.0
2009-10-30,09:00-18:30,1061.75,1037.75,24.0,0.0,0.0
2009-11-02,09:00-18:30,1049.5,1034.0,15.5,0.0,0.0
2009-11-03,09:00-18:30,1040.5,1026.5,14.0,0.0,0.0
2009-11-04,09:00-18:30,1057.5,1044.25,13.25,0.0,0.0
2009-11-05,09:00-18:30,1062.0,1039.0,23.0,0.0,0.0
2009-11-06,09:00-18:30,1069.5,1053.5,16.0,0.0,0.0
2009-11-09,09:00-18:30,1084.75,1072.25,12.5,0.0,0.0
2009-11-10,09:00-18:30,1094.5,1085.25,9.25,0.0,0.0
2009-11-11,09:00-18:30,1103.25,1091.5,11.75,0.0,0.0
2009-11-12,09:00-18:30,1101.0,1088.5,12.5,0.0,0.0
2009-11-13,09:00-18:30,1095.75,1082.75,13.0,0.0,0.0
