date,timetable,max,min,range,range-trail,range-avg,open,long-close,short-close,close,long-rst,short-rst,long-acc,short-acc
2009-09-28,09:00-18:30, 1060.25,    0.00, 1060.25,    0.00,    0.00,    0.00,    0.00,    0.00, 1058.75,    0.00,    0.00,    0.00,    0.00
2009-09-29,09:00-18:30, 1065.75, 1053.25,   12.50,    0.00,    0.00, 1060.75, 1060.75, 1058.25, 1055.50,    0.00,    2.50,    0.00,    2.50
2009-09-30,09:00-18:30, 1063.25, 1041.50,   21.75,    0.00,    0.00, 1057.25, 1057.25, 1057.25, 1050.25,    0.00,    0.00,    0.00,    2.50
2009-10-01,09:00-18:30, 1055.25, 1031.50,   23.75,    0.00,    0.00, 1051.75, 1051.75, 1051.75, 1034.75,    0.00,    0.00,    0.00,    2.50
2009-10-02,09:00-18:30, 1027.00, 1012.00,   15.00,    0.00,    0.00, 1024.25, 1024.25, 1024.25, 1023.25,    0.00,    0.00,    0.00,    2.50
2009-10-05,09:00-18:30, 1032.50, 1021.25,   11.25,    0.00,    0.00, 1024.50, 1024.50, 1024.50, 1030.50,    0.00,    0.00,    0.00,    2.50
2009-10-06,09:00-18:30, 1056.75, 1036.75,   20.00,    0.00,    0.00, 1037.75, 1037.75, 1037.75, 1053.50,    0.00,    0.00,    0.00,    2.50
2009-10-07,09:00-18:30, 1054.75, 1045.25,    9.50,    0.00,    0.00, 1052.00, 1052.00, 1052.00, 1049.75,    0.00,    0.00,    0.00,    2.50
2009-10-08,09:00-18:30, 1067.25, 1056.75,   10.50,    0.00,    0.00, 1064.75, 1064.75, 1064.75, 1066.50,    0.00,    0.00,    0.00,    2.50
2009-10-09,09:00-18:30, 1067.25, 1058.50,    8.75,    0.00,    0.00, 1060.50, 1064.25, 1060.50, 1062.00,    3.75,    0.00,    3.75,    2.50
2009-10-12,09:00-18:30, 1076.75, 1067.50,    9.25,    0.00,    0.00, 1069.25, 1069.25, 1069.25, 1074.00,    0.00,    0.00,    3.75,    2.50
2009-10-13,09:00-18:30, 1074.25, 1063.00,   11.25,    0.00,    0.00, 1071.50, 1071.50, 1071.50, 1069.50,    0.00,    0.00,    3.75,    2.50
2009-10-14,09:00-18:30, 1085.75, 1077.75,    8.00,    0.00,    0.00, 1078.50, 1080.00, 1078.50, 1082.00,    1.50,    0.00,    5.25,    2.50
2009-10-15,09:00-18:30, 1090.00, 1080.50,    9.50,    0.00,    0.00, 1087.75, 1087.75, 1087.75, 1086.50,    0.00,    0.00,    5.25,    2.50
2009-10-16,09:00-18:30, 1095.50, 1077.50,   18.00,    0.00,    0.00, 1091.00, 1092.50, 1091.00, 1080.50,    1.50,    0.00,    6.75,    2.50
2009-10-19,09:00-18:30, 1095.75, 1082.75,   13.00,    0.00,    0.00, 1084.50, 1084.50, 1084.50, 1094.00,    0.00,    0.00,    6.75,    2.50
2009-10-20,09:00-18:30, 1099.00, 1082.50,   16.50,    0.00,    0.00, 1097.00, 1097.00, 1097.00, 1084.75,    0.00,    0.00,    6.75,    2.50
2009-10-21,09:00-18:30, 1098.50, 1080.75,   17.75,    0.00,    0.00, 1089.50, 1089.50, 1089.50, 1093.50,    0.00,    0.00,    6.75,    2.50
2009-10-22,09:00-18:30, 1080.50, 1070.25,   10.25,    0.00,    0.00, 1077.00, 1077.00, 1077.00, 1076.75,    0.00,    0.00,    6.75,    2.50
2009-10-23,09:00-18:30, 1095.25, 1075.75,   19.50,    0.00,    0.00, 1091.75, 1091.75, 1091.75, 1079.75,    0.00,    0.00,    6.75,    2.50
2009-10-26,09:00-18:30, 1088.50, 1062.25,   26.25,    0.00,    0.00, 1080.25, 1080.25, 1080.25, 1066.75,    0.00,    0.00,    6.75,    2.50
