date,timetable,max,min,range,range-trail,range-avg
2009-09-28,01:00-08:30,598.6,593.6,5.0,0.0,0.0
2009-10-05,01:00-08:30,582.5,578.4,4.100000000000023,0.0,0.0
2009-10-12,01:00-08:30,614.5,611.6,2.8999999999999773,0.0,0.0
2009-10-19,01:00-08:30,615.0,609.7,5.2999999999999545,0.0,0.0
2009-10-26,01:00-08:30,603.1,600.0,3.1000000000000227,0.0,0.0
2009-11-02,01:00-08:30,566.9,563.2,3.699999999999932,0.0,0.0
2009-11-09,01:00-08:30,582.7,577.5,5.2000000000000455,0.0,0.0
2009-11-16,01:00-08:30,592.4,588.0,4.399999999999977,0.0,0.0
2009-11-23,01:00-08:30,588.8,584.6,4.199999999999932,0.0,0.0
2009-11-30,01:00-08:30,580.6,576.1,4.5,0.0,0.0
2009-12-07,01:00-08:30,604.8,600.4,4.399999999999977,0.0,0.0
2009-12-14,01:00-08:30,605.0,595.4,9.600000000000023,0.0,0.0
2009-12-21,01:00-08:30,611.0,608.4,2.6000000000000227,0.0,0.0
2009-12-28,01:00-08:30,634.3,630.9,3.3999999999999773,0.0,0.0
2010-01-04,01:00-08:30,628.6,625.8,2.800000000000068,0.0,0.0
2010-01-11,01:00-08:30,648.9,646.1,2.7999999999999545,0.0,0.0
2010-01-18,01:00-08:30,638.8,634.7,4.099999999999909,0.0,0.0
2010-01-25,01:00-08:30,620.0,618.8,1.2000000000000455,0.0,0.0
2010-02-01,01:00-08:30,601.9,598.4,3.5,0.0,0.0
2010-02-08,01:00-08:30,591.5,586.8,4.7000000000000455,0.0,0.0
2010-02-15,01:00-08:30,611.6,608.9,2.7000000000000455,0.0,0.0
2010-02-22,01:00-08:30,632.6,630.6,2.0,0.0,0.0
2010-03-01,01:00-08:30,632.3,629.3,3.0,0.0,0.0
2010-03-08,01:00-08:30,666.0,664.1,1.8999999999999773,0.0,0.0
2010-03-15,01:00-08:30,674.5,670.9,3.6000000000000227,0.0,0.0
2010-03-22,01:00-08:30,667.0,664.8,2.2000000000000455,0.0,0.0
2010-03-29,01:00-08:30,681.5,678.2,3.2999999999999545,0.0,0.0
2010-04-05,01:00-08:30,685.5,684.2,1.2999999999999545,0.0,0.0
2010-04-12,01:00-08:30,705.5,703.8,1.7000000000000455,0.0,0.0
2010-04-19,01:00-08:30,712.5,709.7,2.7999999999999545,0.0,0.0
2010-04-26,01:00-08:30,741.3,737.7,3.599999999999909,0.0,0.0
2010-05-03,01:00-08:30,720.0,716.5,3.5,0.0,0.0
2010-05-10,01:00-08:30,677.9,661.0,16.899999999999977,0.0,0.0
2010-05-17,01:00-08:30,694.9,685.1,9.799999999999955,0.0,0.0
2010-05-24,01:00-08:30,649.9,642.5,7.399999999999977,0.0,0.0
2010-05-31,01:00-08:30,666.1,662.0,4.100000000000023,0.0,0.0
2010-06-07,01:00-08:30,634.5,626.7,7.7999999999999545,0.0,0.0
2010-06-14,01:00-08:30,650.0,646.9,3.1000000000000227,0.0,0.0
2010-06-21,01:00-08:30,676.0,668.0,8.0,0.0,0.0
2010-06-28,01:00-08:30,645.2,641.5,3.7000000000000455,0.0,0.0
2010-07-05,01:00-08:30,597.1,594.2,2.8999999999999773,0.0,0.0
2010-07-12,01:00-08:30,625.2,621.5,3.7000000000000455,0.0,0.0
2010-07-19,01:00-08:30,611.5,607.1,4.399999999999977,0.0,0.0
2010-08-09,01:00-08:30,653.1,648.3,4.800000000000068,0.0,0.0
2010-08-16,01:00-08:30,610.8,603.3,7.5,0.0,0.0
2010-08-23,01:00-08:30,613.7,611.1,2.6000000000000227,0.0,0.0
2010-08-30,01:00-08:30,624.5,618.7,5.7999999999999545,0.0,0.0
2010-09-13,01:00-08:30,640.4,637.6,2.7999999999999545,0.0,0.0
2010-09-20,01:00-08:30,649.7,645.6,4.100000000000023,0.0,0.0
2010-09-27,01:00-08:30,671.4,667.4,4.0,0.0,0.0
2010-10-04,01:00-08:30,679.1,675.1,4.0,0.0,0.0
2010-10-11,01:00-08:30,694.1,690.7,3.3999999999999773,0.0,0.0
2010-10-18,01:00-08:30,702.8,697.1,5.699999999999932,0.0,0.0
2010-10-25,01:00-08:30,711.3,701.7,9.599999999999909,0.0,0.0
2010-11-01,01:00-08:30,708.7,705.1,3.6000000000000227,0.0,0.0
2010-11-09,01:00-08:30,736.2,731.9,4.300000000000068,0.0,0.0
2010-11-15,01:00-08:30,721.5,717.9,3.6000000000000227,0.0,0.0
2010-11-22,01:00-08:30,729.7,727.7,2.0,0.0,0.0
2010-11-29,01:00-08:30,735.5,730.3,5.2000000000000455,0.0,0.0
2010-12-06,01:00-08:30,757.1,752.6,4.5,0.0,0.0
2010-12-13,01:00-08:30,774.8,771.3,3.5,0.0,0.0
2010-12-20,01:00-08:30,778.2,773.5,4.7000000000000455,0.0,0.0
2010-12-27,01:00-08:30,786.2,783.1,3.1000000000000227,0.0,0.0
2011-01-03,01:00-08:30,788.4,783.5,4.899999999999977,0.0,0.0
2011-01-10,01:00-08:30,785.0,781.9,3.1000000000000227,0.0,0.0
2011-01-17,01:00-08:30,805.5,803.1,2.3999999999999773,0.0,0.0
2011-01-24,01:00-08:30,777.2,770.8,6.400000000000091,0.0,0.0
2011-01-31,01:00-08:30,777.8,769.7,8.099999999999909,0.0,0.0
2011-02-07,01:00-08:30,799.6,797.6,2.0,0.0,0.0
2011-02-14,01:00-08:30,823.2,820.1,3.1000000000000227,0.0,0.0
2011-02-21,01:00-08:30,834.9,832.0,2.8999999999999773,0.0,0.0
2011-02-28,01:00-08:30,823.4,818.4,5.0,0.0,0.0
2011-03-07,01:00-08:30,826.2,821.1,5.100000000000023,0.0,0.0
2011-03-14,01:00-08:30,799.6,791.9,7.7000000000000455,0.0,0.0
2011-03-21,01:00-08:30,799.4,792.7,6.699999999999932,0.0,0.0
2011-03-28,01:00-08:30,823.5,819.2,4.2999999999999545,0.0,0.0
2011-04-04,01:00-08:30,847.0,843.6,3.3999999999999773,0.0,0.0
2011-04-11,01:00-08:30,842.4,838.4,4.0,0.0,0.0
2011-04-18,01:00-08:30,833.9,832.0,1.8999999999999773,0.0,0.0
2011-04-25,01:00-08:30,844.3,842.2,2.099999999999909,0.0,0.0
