id,datetime,contract,timetable,Rng Estim,Rng Adj,Axis Target,period,Annual Profit%,Max Drawdown%,Winners%,Recovery Factor,Profit Factor,Sharpe
ES09001830465201420202,2020-10-26 12:57:48,ES,09:00-18:30,4,65,2,2014-2020,      2.90%,     47.39%,     44.63%,      0.25,      1.02,      0.09
ES09001830470201420202,2020-10-26 12:58:53,ES,09:00-18:30,4,70,2,2014-2020,     17.60%,     22.03%,     46.14%,      5.98,      1.15,      0.81
ES09001830470201420203,2020-10-26 12:59:32,ES,09:00-18:30,4,70,3,2014-2020,     13.21%,     38.77%,     44.98%,      2.80,      1.10,      0.54
ES09001830470201420204,2020-10-26 13:00:04,ES,09:00-18:30,4,70,4,2014-2020,     11.27%,     72.91%,     44.38%,      1.35,      1.08,      0.44
ES09001830470201420205,2020-10-26 13:01:20,ES,09:00-18:30,4,70,5,2014-2020,     16.96%,     22.24%,     45.01%,      3.81,      1.14,      0.78
ES09001830465201420205,2020-10-26 13:01:54,ES,09:00-18:30,4,65,5,2014-2020,     11.95%,     32.60%,     45.35%,      1.37,      1.09,      0.49
ES09001830465201420204,2020-10-26 13:02:32,ES,09:00-18:30,4,65,4,2014-2020,     -0.32%,     88.74%,     42.90%,     -0.02,      1.00,     -0.01
ES09001830465201420203,2020-10-26 13:03:42,ES,09:00-18:30,4,65,3,2014-2020,     -7.10%,     76.72%,     43.07%,     -0.42,      0.97,     -0.17
ES09001830475201420202,2020-10-26 13:04:42,ES,09:00-18:30,4,75,2,2014-2020,     13.93%,     20.86%,     45.64%,      2.42,      1.10,      0.56
ES09001830475201420203,2020-10-26 13:05:20,ES,09:00-18:30,4,75,3,2014-2020,     14.56%,     25.74%,     45.52%,      3.55,      1.11,      0.60
ES09001830475201420204,2020-10-26 13:05:47,ES,09:00-18:30,4,75,4,2014-2020,     10.81%,     26.55%,     45.64%,      1.64,      1.07,      0.41
ES09001830475201420205,2020-10-26 13:06:15,ES,09:00-18:30,4,75,5,2014-2020,      7.57%,     35.85%,     44.88%,      0.86,      1.04,      0.26
ES09001830480201420205,2020-10-26 13:06:45,ES,09:00-18:30,4,80,5,2014-2020,      5.31%,     50.27%,     45.70%,      0.42,      1.03,      0.17
ES09001830480201420204,2020-10-26 13:07:30,ES,09:00-18:30,4,80,4,2014-2020,      3.92%,     46.78%,     45.94%,      0.27,      1.02,      0.12
ES09001830480201420203,2020-10-26 13:07:53,ES,09:00-18:30,4,80,3,2014-2020,     -6.79%,     76.49%,     45.67%,     -0.41,      0.97,     -0.15
ES09001830480201420202,2020-10-26 13:08:16,ES,09:00-18:30,4,80,2,2014-2020,      7.00%,     49.90%,     45.64%,      1.16,      1.04,      0.23
ES09001830365201420202,2020-10-26 13:09:01,ES,09:00-18:30,3,65,2,2014-2020,     11.22%,     24.01%,     45.12%,      2.15,      1.08,      0.44
ES09001830365201420203,2020-10-26 13:09:34,ES,09:00-18:30,3,65,3,2014-2020,      5.82%,     58.03%,     43.48%,      0.66,      1.03,      0.20
ES09001830365201420204,2020-10-26 13:09:59,ES,09:00-18:30,3,65,4,2014-2020,      7.79%,     79.07%,     43.51%,      0.78,      1.05,      0.29
ES09001830365201420205,2020-10-26 13:10:19,ES,09:00-18:30,3,65,5,2014-2020,     15.18%,     22.75%,     45.61%,      3.24,      1.12,      0.70
ES09001830370201420205,2020-10-26 13:11:46,ES,09:00-18:30,3,70,5,2014-2020,     14.56%,     25.22%,     45.07%,      2.04,      1.11,      0.63
ES09001830370201420204,2020-10-26 13:12:57,ES,09:00-18:30,3,70,4,2014-2020,     -1.04%,     72.91%,     43.65%,     -0.09,      1.00,     -0.03
ES09001830370201420203,2020-10-26 13:13:49,ES,09:00-18:30,3,70,3,2014-2020,     13.31%,     38.77%,     45.00%,      2.71,      1.10,      0.54
ES09001830370201420202,2020-10-26 13:14:13,ES,09:00-18:30,3,70,2,2014-2020,     16.04%,     22.03%,     45.94%,      3.43,      1.13,      0.70
ES09001830375201420202,2020-10-26 13:15:03,ES,09:00-18:30,3,75,2,2014-2020,     15.82%,     20.37%,     46.59%,      3.86,      1.12,      0.68
ES09001830375201420203,2020-10-26 13:15:38,ES,09:00-18:30,3,75,3,2014-2020,    -10.48%,     81.89%,     45.03%,     -0.47,      0.96,     -0.22
ES09001830380201420202,2020-10-26 13:16:31,ES,09:00-18:30,3,80,2,2014-2020,     11.06%,     39.61%,     45.46%,      1.60,      1.07,      0.38
ES09001830265201420202,2020-10-26 13:17:30,ES,09:00-18:30,2,65,2,2014-2020,     18.07%,     26.39%,     45.38%,      3.22,      1.16,      0.79
ES09001830265201420203,2020-10-26 13:17:56,ES,09:00-18:30,2,65,3,2014-2020,     18.97%,     23.18%,     44.69%,      5.40,      1.17,      0.84
ES09001830265201420204,2020-10-26 13:18:40,ES,09:00-18:30,2,65,4,2014-2020,     13.94%,     32.74%,     44.17%,      3.09,      1.10,      0.55
ES09001830265201420205,2020-10-26 13:19:06,ES,09:00-18:30,2,65,5,2014-2020,     19.70%,     17.61%,     44.62%,      5.97,      1.18,      0.90
ES09001830270201420205,2020-10-26 13:19:48,ES,09:00-18:30,2,70,5,2014-2020,     10.15%,     24.96%,     45.92%,      2.06,      1.06,      0.36
