date,timetable,max,min,range,range-trail,range-avg
2009-09-28,09:00-18:30,9758.0,9582.0,176.0,0.0,0.0
2009-09-29,09:00-18:30,9775.0,9678.0,97.0,0.0,0.0
2009-09-30,09:00-18:30,9735.0,9544.0,191.0,0.0,0.0
2009-10-01,09:00-18:30,9674.0,9488.0,186.0,0.0,0.0
2009-10-02,09:00-18:30,9459.0,9336.0,123.0,0.0,0.0
2009-10-05,09:00-18:30,9506.0,9419.0,87.0,0.0,0.0
2009-10-06,09:00-18:30,9717.0,9542.0,175.0,0.0,0.0
2009-10-07,09:00-18:30,9702.0,9624.0,78.0,0.0,0.0
2009-10-08,09:00-18:30,9779.0,9692.0,87.0,0.0,0.0
2009-10-09,09:00-18:30,9777.0,9706.0,71.0,0.0,0.0
2009-10-12,09:00-18:30,9876.0,9806.0,70.0,0.0,0.0
2009-10-13,09:00-18:30,9848.0,9759.0,89.0,0.0,0.0
2009-10-14,09:00-18:30,9941.0,9881.0,60.0,0.0,0.0
2009-10-15,09:00-18:30,9973.0,9906.0,67.0,0.0,0.0
2009-10-16,09:00-18:30,10004.0,9884.0,120.0,0.0,0.0
2009-10-19,09:00-18:30,10054.0,9937.0,117.0,0.0,0.0
2009-10-20,09:00-18:30,10070.0,9936.0,134.0,0.0,0.0
2009-10-21,09:00-18:30,10068.0,9927.0,141.0,0.0,0.0
2009-10-22,09:00-18:30,9968.0,9861.0,107.0,0.0,0.0
2009-10-23,09:00-18:30,10068.0,9920.0,148.0,0.0,0.0
2009-10-26,09:00-18:30,10025.0,9793.0,232.0,0.0,0.0
2009-10-27,09:00-18:30,9899.0,9787.0,112.0,0.0,0.0
2009-10-28,09:00-18:30,9852.0,9760.0,92.0,0.0,0.0
2009-10-29,09:00-18:30,9855.0,9722.0,133.0,0.0,0.0
2009-10-30,09:00-18:30,9910.0,9702.0,208.0,0.0,0.0
2009-11-02,09:00-18:30,9812.0,9671.0,141.0,0.0,0.0
2009-11-03,09:00-18:30,9739.0,9627.0,112.0,0.0,0.0
2009-11-04,09:00-18:30,9879.0,9747.0,132.0,0.0,0.0
2009-11-05,09:00-18:30,9947.0,9722.0,225.0,0.0,0.0
2009-11-06,09:00-18:30,10007.0,9874.0,133.0,0.0,0.0
2009-11-09,09:00-18:30,10147.0,10031.0,116.0,0.0,0.0
2009-11-10,09:00-18:30,10227.0,10153.0,74.0,0.0,0.0
2009-11-11,09:00-18:30,10309.0,10217.0,92.0,0.0,0.0
2009-11-12,09:00-18:30,10289.0,10194.0,95.0,0.0,0.0
2009-11-13,09:00-18:30,10269.0,10158.0,111.0,0.0,0.0
2009-11-16,09:00-18:30,10384.0,10280.0,104.0,0.0,0.0
2009-11-17,09:00-18:30,10387.0,10332.0,55.0,0.0,0.0
2009-11-18,09:00-18:30,10422.0,10338.0,84.0,0.0,0.0
2009-11-19,09:00-18:30,10371.0,10233.0,138.0,0.0,0.0
2009-11-20,09:00-18:30,10330.0,10236.0,94.0,0.0,0.0
2009-11-23,09:00-18:30,10486.0,10362.0,124.0,0.0,0.0
2009-11-24,09:00-18:30,10441.0,10330.0,111.0,0.0,0.0
2009-11-25,09:00-18:30,10469.0,10402.0,67.0,0.0,0.0
2009-11-27,09:00-18:30,10397.0,10151.0,246.0,0.0,0.0
2009-11-30,09:00-18:30,10355.0,10251.0,104.0,0.0,0.0
2009-12-01,09:00-18:30,10410.0,10301.0,109.0,0.0,0.0
2009-12-03,09:00-18:30,10434.0,10337.0,97.0,0.0,0.0
2009-12-07,09:00-18:30,10372.0,10270.0,102.0,0.0,0.0
2009-12-08,09:00-18:30,10355.0,10180.0,175.0,0.0,0.0
2009-12-09,09:00-18:30,10266.0,10170.0,96.0,0.0,0.0
2009-12-10,09:00-18:30,10384.0,10245.0,139.0,0.0,0.0
2009-12-11,09:00-18:30,10410.0,10353.0,57.0,0.0,0.0
2009-12-14,09:00-18:30,10488.0,10412.0,76.0,0.0,0.0
2009-12-15,09:00-18:30,10447.0,10376.0,71.0,0.0,0.0
2009-12-16,09:00-18:30,10461.0,10409.0,52.0,0.0,0.0
2009-12-17,09:00-18:30,10374.0,10268.0,106.0,0.0,0.0
2009-12-18,09:00-18:30,10348.0,10201.0,147.0,0.0,0.0
2009-12-21,09:00-18:30,10398.0,10265.0,133.0,0.0,0.0
2009-12-22,09:00-18:30,10420.0,10354.0,66.0,0.0,0.0
2009-12-23,09:00-18:30,10450.0,10375.0,75.0,0.0,0.0
2009-12-24,09:00-18:30,10461.0,10409.0,52.0,0.0,0.0
2009-12-28,09:00-18:30,10494.0,10461.0,33.0,0.0,0.0
2009-12-29,09:00-18:30,10526.0,10481.0,45.0,0.0,0.0
2009-12-30,09:00-18:30,10494.0,10424.0,70.0,0.0,0.0
2009-12-31,09:00-18:30,10514.0,10426.0,88.0,0.0,0.0
2010-01-04,09:00-18:30,10541.0,10414.0,127.0,0.0,0.0
2010-01-05,09:00-18:30,10538.0,10455.0,83.0,0.0,0.0
2010-01-06,09:00-18:30,10544.0,10479.0,65.0,0.0,0.0
2010-01-07,09:00-18:30,10540.0,10451.0,89.0,0.0,0.0
2010-01-08,09:00-18:30,10579.0,10496.0,83.0,0.0,0.0
2010-01-11,09:00-18:30,10620.0,10537.0,83.0,0.0,0.0
2010-01-12,09:00-18:30,10600.0,10523.0,77.0,0.0,0.0
2010-01-13,09:00-18:30,10624.0,10561.0,63.0,0.0,0.0
2010-01-14,09:00-18:30,10662.0,10604.0,58.0,0.0,0.0
2010-01-15,09:00-18:30,10671.0,10519.0,152.0,0.0,0.0
2010-01-19,09:00-18:30,10661.0,10519.0,142.0,0.0,0.0
2010-01-20,09:00-18:30,10648.0,10468.0,180.0,0.0,0.0
2010-01-21,09:00-18:30,10578.0,10327.0,251.0,0.0,0.0
2010-01-22,09:00-18:30,10375.0,10251.0,124.0,0.0,0.0
2010-01-25,09:00-18:30,10249.0,10124.0,125.0,0.0,0.0
2010-01-26,09:00-18:30,10219.0,10078.0,141.0,0.0,0.0
2010-01-27,09:00-18:30,10168.0,10080.0,88.0,0.0,0.0
2010-01-28,09:00-18:30,10248.0,10005.0,243.0,0.0,0.0
2010-01-29,09:00-18:30,10192.0,10045.0,147.0,0.0,0.0
2010-02-01,09:00-18:30,10128.0,10039.0,89.0,0.0,0.0
2010-02-02,09:00-18:30,10223.0,10103.0,120.0,0.0,0.0
2010-02-03,09:00-18:30,10261.0,10187.0,74.0,0.0,0.0
2010-02-04,09:00-18:30,10228.0,9995.0,233.0,0.0,0.0
2010-02-05,09:00-18:30,9999.0,9874.0,125.0,0.0,0.0
2010-02-08,09:00-18:30,9995.0,9898.0,97.0,0.0,0.0
2010-02-09,09:00-18:30,10104.0,9925.0,179.0,0.0,0.0
2010-02-10,09:00-18:30,10057.0,9928.0,129.0,0.0,0.0
2010-02-11,09:00-18:30,10112.0,9940.0,172.0,0.0,0.0
2010-02-12,09:00-18:30,10122.0,9951.0,171.0,0.0,0.0
2010-02-16,09:00-18:30,10200.0,10079.0,121.0,0.0,0.0
2010-02-17,09:00-18:30,10300.0,10250.0,50.0,0.0,0.0
2010-02-18,09:00-18:30,10339.0,10245.0,94.0,0.0,0.0
2010-02-19,09:00-18:30,10421.0,10279.0,142.0,0.0,0.0
2010-02-22,09:00-18:30,10434.0,10355.0,79.0,0.0,0.0
2010-02-23,09:00-18:30,10414.0,10272.0,142.0,0.0,0.0
2010-02-24,09:00-18:30,10379.0,10269.0,110.0,0.0,0.0
2010-02-25,09:00-18:30,10344.0,10172.0,172.0,0.0,0.0
2010-02-26,09:00-18:30,10346.0,10258.0,88.0,0.0,0.0
2010-03-03,09:00-18:30,10395.0,10324.0,71.0,0.0,0.0
2010-03-08,09:00-18:30,10514.0,10473.0,41.0,0.0,0.0
2010-03-09,09:00-18:30,10532.0,10442.0,90.0,0.0,0.0
2010-03-11,09:00-18:30,10514.0,10444.0,70.0,0.0,0.0
2010-03-12,09:00-18:30,10594.0,10533.0,61.0,0.0,0.0
2010-03-15,09:00-18:30,10577.0,10508.0,69.0,0.0,0.0
2010-03-16,09:00-18:30,10622.0,10559.0,63.0,0.0,0.0
2010-03-17,09:00-18:30,10678.0,10634.0,44.0,0.0,0.0
2010-03-18,09:00-18:30,10708.0,10643.0,65.0,0.0,0.0
2010-03-19,09:00-18:30,10757.0,10646.0,111.0,0.0,0.0
2010-03-22,09:00-18:30,10735.0,10617.0,118.0,0.0,0.0
2010-03-23,09:00-18:30,10774.0,10717.0,57.0,0.0,0.0
2010-03-24,09:00-18:30,10824.0,10763.0,61.0,0.0,0.0
2010-03-25,09:00-18:30,10880.0,10788.0,92.0,0.0,0.0
2010-03-26,09:00-18:30,10847.0,10788.0,59.0,0.0,0.0
2010-03-29,09:00-18:30,10857.0,10808.0,49.0,0.0,0.0
2010-03-30,09:00-18:30,10879.0,10805.0,74.0,0.0,0.0
2010-03-31,09:00-18:30,10854.0,10771.0,83.0,0.0,0.0
2010-04-01,09:00-18:30,10899.0,10833.0,66.0,0.0,0.0
