date,timetable,max,min,range
2009-09-28,09:00-18:30,9758,9582,176
2009-09-29,09:00-18:30,9775,9678,97
2009-09-30,09:00-18:30,9735,9544,191
2009-10-01,09:00-18:30,9674,9488,186
2009-10-02,09:00-18:30,9459,9336,123
2009-10-05,09:00-18:30,9506,9419,87
2009-10-06,09:00-18:30,9717,9542,175
2009-10-07,09:00-18:30,9702,9624,78
2009-10-08,09:00-18:30,9779,9692,87
2009-10-09,09:00-18:30,9777,9706,71
2009-10-12,09:00-18:30,9876,9806,70
2009-10-13,09:00-18:30,9848,9759,89
2009-10-14,09:00-18:30,9941,9881,60
2009-10-15,09:00-18:30,9973,9906,67
2009-10-16,09:00-18:30,10004,9884,120
2009-10-19,09:00-18:30,10054,9937,117
2009-10-20,09:00-18:30,10070,9936,134
2009-10-21,09:00-18:30,10068,9927,141
2009-10-22,09:00-18:30,9968,9861,107
2009-10-23,09:00-18:30,10068,9920,148
2009-10-26,09:00-18:30,10025,9793,232
2009-10-27,09:00-18:30,9899,9787,112
2009-10-28,09:00-18:30,9852,9760,92
2009-10-29,09:00-18:30,9855,9722,133
2009-10-30,09:00-18:30,9910,9702,208
2009-11-02,09:00-18:30,9812,9671,141
2009-11-03,09:00-18:30,9739,9627,112
2009-11-04,09:00-18:30,9879,9747,132
2009-11-05,09:00-18:30,9947,9722,225
2009-11-06,09:00-18:30,10007,9874,133
2009-11-09,09:00-18:30,10147,10031,116
2009-11-10,09:00-18:30,10227,10153,74
2009-11-11,09:00-18:30,10309,10217,92
2009-11-12,09:00-18:30,10289,10194,95
2009-11-13,09:00-18:30,10269,10158,111
2009-11-16,09:00-18:30,10384,10280,104
2009-11-17,09:00-18:30,10387,10332,55
2009-11-18,09:00-18:30,10422,10338,84
2009-11-19,09:00-18:30,10371,10233,138
2009-11-20,09:00-18:30,10330,10236,94
2009-11-23,09:00-18:30,10486,10362,124
2009-11-24,09:00-18:30,10441,10330,111
2009-11-25,09:00-18:30,10469,10402,67
2009-11-27,09:00-18:30,10397,10151,246
2009-11-30,09:00-18:30,10355,10251,104
2009-12-01,09:00-18:30,10410,10301,109
2009-12-03,09:00-18:30,10434,10337,97
2009-12-07,09:00-18:30,10372,10270,102
2009-12-08,09:00-18:30,10355,10180,175
2009-12-09,09:00-18:30,10266,10170,96
2009-12-10,09:00-18:30,10384,10245,139
2009-12-11,09:00-18:30,10410,10353,57
2009-12-14,09:00-18:30,10488,10412,76
2009-12-15,09:00-18:30,10447,10376,71
2009-12-16,09:00-18:30,10461,10409,52
2009-12-17,09:00-18:30,10374,10268,106
2009-12-18,09:00-18:30,10348,10201,147
2009-12-21,09:00-18:30,10398,10265,133
2009-12-22,09:00-18:30,10420,10354,66
2009-12-23,09:00-18:30,10450,10375,75
2009-12-24,09:00-18:30,10461,10409,52
2009-12-28,09:00-18:30,10494,10461,33
2009-12-29,09:00-18:30,10526,10481,45
2009-12-30,09:00-18:30,10494,10424,70
2009-12-31,09:00-18:30,10514,10426,88
2010-01-04,09:00-18:30,10541,10414,127
2010-01-05,09:00-18:30,10538,10455,83
2010-01-06,09:00-18:30,10544,10479,65
2010-01-07,09:00-18:30,10540,10451,89
2010-01-08,09:00-18:30,10579,10496,83
2010-01-11,09:00-18:30,10620,10537,83
2010-01-12,09:00-18:30,10600,10523,77
2010-01-13,09:00-18:30,10624,10561,63
2010-01-14,09:00-18:30,10662,10604,58
2010-01-15,09:00-18:30,10671,10519,152
2010-01-19,09:00-18:30,10661,10519,142
2010-01-20,09:00-18:30,10648,10468,180
2010-01-21,09:00-18:30,10578,10327,251
2010-01-22,09:00-18:30,10375,10251,124
2010-01-25,09:00-18:30,10249,10124,125
2010-01-26,09:00-18:30,10219,10078,141
2010-01-27,09:00-18:30,10168,10080,88
2010-01-28,09:00-18:30,10248,10005,243
2010-01-29,09:00-18:30,10192,10045,147
2010-02-01,09:00-18:30,10128,10039,89
2010-02-02,09:00-18:30,10223,10103,120
2010-02-03,09:00-18:30,10261,10187,74
2010-02-04,09:00-18:30,10228,9995,233
2010-02-05,09:00-18:30,9999,9874,125
2010-02-08,09:00-18:30,9995,9898,97
2010-02-09,09:00-18:30,10104,9925,179
2010-02-10,09:00-18:30,10057,9928,129
2010-02-11,09:00-18:30,10112,9940,172
2010-02-12,09:00-18:30,10122,9951,171
2010-02-16,09:00-18:30,10200,10079,121
2010-02-17,09:00-18:30,10300,10250,50
2010-02-18,09:00-18:30,10339,10245,94
2010-02-19,09:00-18:30,10421,10279,142
2010-02-22,09:00-18:30,10434,10355,79
2010-02-23,09:00-18:30,10414,10272,142
2010-02-24,09:00-18:30,10379,10269,110
2010-02-25,09:00-18:30,10344,10172,172
2010-02-26,09:00-18:30,10346,10258,88
2010-03-03,09:00-18:30,10395,10324,71
